trace_id,created_tw,total_ms,llm_model,worker,pre_agent_ms,llm_total_ms,llm_calls,tool_ms,tail_ms,input_tokens,output_tokens,fast_path,escalated
d6811491-a993-4557-978a-6be61505028d,2026-07-14 16:28:44,12055,gpt-5.4,,3615,3450,1,,4988,1818,97,f,f
07700535-3e20-4c05-ade0-8dde0bd2b2b7,2026-07-14 16:29:27,8321,gpt-5.4,✓ 分流結果：閒聊,43,2049,1,,6227,571,62,f,f
4ef4bb46-0307-4f29-8414-a4f3cad98525,2026-07-14 16:31:17,12781,gpt-5.4,✓ 分流結果：商品查詢,51,3580,2,5802,3343,4119,145,f,f
78e94b35-ca4d-4686-9fd3-40d2098402a8,2026-07-14 16:34:08,7897,gpt-5.4,✓ 分流結果：商品查詢,67,3159,2,932,3735,3036,100,f,f
688042f5-c1e2-411c-ac6f-2c05b01fd6fa,2026-07-14 16:35:54,10241,gpt-5.4,✓ 分流結果：門市服務查詢,45,3415,2,1644,5131,4353,81,f,f
6a157bf6-069c-4947-be10-0687ee6f8b06,2026-07-14 16:41:24,8312,gpt-5.4,✓ 分流結果：高階客服,62,4712,2,497,3037,4207,248,f,f
bddfb7e1-7f88-45d3-91e5-f6293ec3cddd,2026-07-14 16:42:27,9094,gpt-5.4,✓ 分流結果：高階客服,59,4746,2,1087,3198,4457,210,f,f
9a926a36-a4e0-41bd-880b-5afcaa787274,2026-07-14 16:44:37,8024,gpt-5.4,✓ 分流結果：高階客服,53,3715,2,905,3346,4844,273,f,f
87df89c1-60ac-411d-9a1f-a6f09a2e7536,2026-07-14 16:46:53,9593,gpt-5.4,,66,5204,2,916,3404,6209,275,f,f
08d19c40-1d05-4436-bf8f-a87a18e1add6,2026-07-14 16:49:02,8440,gpt-5.4,,52,4149,2,558,3677,6002,199,f,f
a4d62440-7d73-4767-84cf-b0fc0443d8db,2026-07-14 16:53:22,9087,gpt-5.4,✓ 分流結果：商品查詢,72,3264,2,1599,4148,5362,130,f,f
0c56065d-cc97-4d74-b02b-e39c55c20755,2026-07-14 16:56:20,8681,gpt-5.4,,50,3682,2,1438,3507,6492,134,f,f
451f9601-986b-4514-b0e3-cdf9ccb3ad90,2026-07-14 16:57:22,10560,gpt-5.4,✓ 分流結果：門市服務查詢,43,4495,2,816,5202,5404,476,f,f
c11f2af4-eedf-4428-962e-bb2da1b896a7,2026-07-14 17:00:12,11628,gpt-5.4,,93,6455,2,1135,3941,7833,428,f,f
264c083c-e905-4eea-a40c-57c1a8824e32,2026-07-14 17:01:47,6849,gpt-5.4,✓ 分流結果：商品查詢,54,3202,1,,3592,2124,143,f,f
8481e592-116e-49d2-bfa3-73338e33f533,2026-07-14 17:02:16,7129,gpt-5.4,✓ 分流結果：商品查詢,52,3178,2,849,3046,5633,135,f,f
18f24ecb-f212-42a2-b1a8-17c51285604f,2026-07-14 17:03:04,8103,gpt-5.4,✓ 分流結果：門市服務查詢,48,2748,2,427,4876,5093,113,f,f
0b4c1c69-b6df-4061-aca4-4e19eb82671d,2026-07-14 17:03:35,8893,gpt-5.4,✓ 分流結果：門市服務查詢,52,4851,2,1002,2984,5066,160,f,f
81b89a95-e6ff-4e2a-a9b2-beef6e445f5f,2026-07-14 17:08:14,10508,gpt-5.4,✓ 分流結果：門市服務查詢,52,4743,3,1150,4556,5707,119,f,f
36b861b6-699b-446e-9383-e53d9c585eb0,2026-07-14 17:08:49,7496,gpt-5.4,✓ 分流結果：高階客服,55,3648,2,1515,3032,4793,201,f,f
6ad3e64d-45a7-478f-80c8-1e1df22b7fd9,2026-07-14 17:10:32,6640,gpt-5.4,✓ 分流結果：閒聊,39,2599,1,,4000,1008,98,f,f
a3be227c-3219-4b75-96ba-87a578a397c9,2026-07-14 17:11:03,5651,gpt-5.4,✓ 分流結果：閒聊,36,2429,1,,3185,994,88,f,f
46614eea-ba05-4b6b-b81d-e20c3706eb10,2026-07-14 17:11:37,5579,gpt-5.4,✓ 分流結果：閒聊,37,2096,1,,3445,990,96,f,f
b53b6806-2968-46d7-ac42-619f3df5926b,2026-07-14 17:12:25,14395,gpt-5.4,,52,9214,2,1473,3652,6781,831,f,f
aae5df84-be88-4f09-a575-bebd2a66f27e,2026-07-14 17:13:16,11028,gpt-5.4,✓ 分流結果：高階客服,66,6094,2,975,3889,5951,428,f,f
de92936c-d43d-4b9e-8752-fb0d36f58424,2026-07-14 17:14:59,11489,gpt-5.4,,55,6760,2,1136,3534,7984,534,f,f
ddc97db7-ae89-4b24-85c8-0b3ad683ce72,2026-07-14 17:15:38,9108,gpt-5.4,,51,4259,1,,4796,3764,265,f,f
0e8228e2-b26b-430c-a8a2-c5b24437083b,2026-07-14 17:16:24,10923,gpt-5.4,,54,6068,2,1085,3711,9001,465,f,f
f021fc6c-8a2c-471c-9197-0a3df8e0ac5f,2026-07-15 09:20:26,12151,gpt-5.4,✓ 分流結果：高階客服,67,5138,2,3796,3146,3247,187,f,f
4cc8e639-e56e-452d-9b87-4c392dbfbb0c,2026-07-15 09:20:55,8625,gpt-5.4,✓ 分流結果：門市服務查詢,48,3839,2,1938,2796,3347,440,f,f
e9d5c879-97b1-4ce7-88be-bf0e102a4528,2026-07-17 13:31:33,11695,gpt-5.4,✓ 分流結果：高階客服,3579,5338,2,1700,1923,3562,170,f,f
c985cf13-142f-46ff-898b-ac313573042d,2026-07-17 13:51:08,7724,gpt-5.4,✓ 分流結果：閒聊,3787,2639,1,,1296,514,45,f,f
f8f8fa3f-f187-40ea-8714-ff7ea4001ec2,2026-07-17 13:53:05,7661,gpt-5.4,✓ 分流結果：高階客服,67,4567,2,1449,1575,3820,196,f,f
28fff7f6-1ceb-4c9d-870e-1bdf211ea31d,2026-07-17 13:53:31,10107,gpt-5.4,✓ 分流結果：高階客服,56,6914,2,648,2485,4397,260,f,f
96403dd4-657f-4e0d-b43f-84abd4b666a1,2026-07-17 13:53:42,6490,gpt-5.4,✓ 分流結果：高階客服,54,4379,2,776,1276,4458,148,f,f
