timestamp,llm_model,process_message_ms,reply_ms,persist_ms,total_ms,answer_len
2026-07-23T06:42:36.759509Z,gpt-5.4,8911,174,73,9085,64
2026-07-23T06:36:00.286749Z,gpt-5.4,5601,163,51,5764,70
2026-07-23T06:35:19.771220Z,gpt-5.4,3884,108,54,3993,92
2026-07-23T06:35:14.017847Z,gpt-5.4,5275,232,51,5507,373
2026-07-23T06:35:06.851005Z,gpt-5.4,4421,237,53,4658,104
2026-07-23T06:34:45.589014Z,gpt-5.4,5514,164,60,5677,21
2026-07-23T06:34:33.767397Z,gpt-5.4,9907,148,72,10054,195
2026-07-23T06:31:48.666072Z,gpt-5.4,7406,257,60,7663,261
2026-07-23T06:31:19.419749Z,gpt-5.4,5777,133,72,5910,185
2026-07-23T06:31:08.874723Z,gpt-5.4,5919,137,54,6056,219
2026-07-23T06:30:49.959163Z,gpt-5.4,8192,185,60,8377,187
2026-07-23T06:30:35.198670Z,gpt-5.4,5280,131,60,5410,204
2026-07-23T06:30:22.569690Z,gpt-5.4,4960,142,51,5102,75
2026-07-23T06:30:15.586617Z,gpt-5.4,5222,199,60,5422,359
2026-07-23T06:30:03.672805Z,gpt-5.4,5717,179,63,5896,287
2026-07-23T06:29:53.497147Z,gpt-5.4,4078,141,65,4218,188
2026-07-23T06:29:44.855207Z,gpt-5.4,9396,162,86,9558,111
2026-07-23T06:20:32.466010Z,gpt-5.4,4467,115,64,4583,205
2026-07-23T06:20:26.292192Z,gpt-5.4,5012,129,63,5141,117
2026-07-23T06:20:19.758710Z,gpt-5.4,6088,156,72,6244,390
2026-07-23T06:20:11.849995Z,gpt-5.4,6850,150,79,7000,379
2026-07-23T06:20:00.071338Z,gpt-5.4,14419,177,92,14596,311
2026-07-23T01:33:42.030281Z,gpt-5.4,3885,163,97,4047,50
2026-07-22T10:08:46.632500Z,gpt-5.4,8575,218,67,8794,483
2026-07-22T10:08:18.069842Z,gpt-5.4,4641,148,76,4789,99
2026-07-22T10:08:01.222870Z,gpt-5.4,11500,190,92,11689,167
2026-07-22T10:07:30.711608Z,gpt-5.4,9120,175,99,9296,55
2026-07-21T05:32:04.455070Z,gpt-5.4,7079,161,97,7240,72
2026-07-21T03:47:39.551647Z,gpt-5.4,9833,153,71,9987,132
2026-07-21T03:45:47.523560Z,gpt-5.4,5652,256,82,5908,135
2026-07-21T03:44:54.532606Z,gpt-5.4,8028,400,94,8428,152
2026-07-21T03:37:28.600993Z,gpt-5.4,9494,145,82,9638,239
2026-07-21T03:37:06.036762Z,gpt-5.4,8261,156,91,8416,218
2026-07-21T03:31:10.209938Z,gpt-5.4,7837,223,107,8060,371
2026-07-21T03:29:09.961576Z,gpt-5.4,6926,123,92,7049,371
2026-07-21T03:24:22.077875Z,gpt-5.4,7568,150,82,7718,380
2026-07-21T03:22:23.551718Z,gpt-5.4,15814,159,120,15973,380
2026-07-20T05:18:52.987900Z,gpt-5.4,7585,274,,7859,399
2026-07-20T05:18:14.536360Z,gpt-5.4,6473,466,,6940,109
2026-07-20T05:17:06.099493Z,gpt-5.4,6674,255,,6929,131
2026-07-20T05:15:46.098492Z,gpt-5.4,9557,238,,9795,121
2026-07-20T05:15:16.208357Z,gpt-5.4,7211,291,,7502,176
2026-07-20T05:12:24.869001Z,gpt-5.4,19824,408,,20232,199
2026-07-17T09:30:59.256101Z,gpt-5.4,7554,232,,7786,180
2026-07-17T09:30:28.583679Z,gpt-5.4,5931,244,,6176,76
2026-07-17T09:30:05.856231Z,gpt-5.4,9554,231,,9786,95
2026-07-17T09:29:34.225204Z,gpt-5.4,4191,205,,4396,123
2026-07-17T09:29:19.905959Z,gpt-5.4,4324,232,,4556,123
2026-07-17T09:28:45.137601Z,gpt-5.4,4177,226,,4402,108
2026-07-17T09:28:33.451116Z,gpt-5.4,3784,228,,4011,85
2026-07-17T09:27:49.327246Z,gpt-5.4,8389,422,,8811,47
2026-07-17T05:54:26.712184Z,gpt-5.4,6818,260,,7078,404
2026-07-17T05:54:07.878347Z,gpt-5.4,5580,243,,5823,88
2026-07-17T05:53:54.911045Z,gpt-5.4,9206,178,,9385,133
2026-07-17T05:53:42.838574Z,gpt-5.4,6490,311,,6801,160
2026-07-17T05:53:31.208564Z,gpt-5.4,10107,182,,10289,277
2026-07-17T05:53:05.729480Z,gpt-5.4,7661,189,,7850,180
2026-07-17T05:51:08.666301Z,gpt-5.4,7724,218,,7942,52
2026-07-17T05:49:29.977238Z,gpt-5.4,1838,178,,2015,15
2026-07-17T05:36:28.220670Z,gpt-5.4,3388,232,,3619,15
2026-07-17T05:31:33.693679Z,gpt-5.4,11695,438,,12133,144
2026-07-15T01:20:55.676713Z,gpt-5.4,8625,220,,8845,427
2026-07-15T01:20:26.398667Z,gpt-5.4,12151,208,,12359,178
2026-07-14T09:16:24.368004Z,gpt-5.4,10923,196,,11119,598
2026-07-14T09:15:38.750333Z,gpt-5.4,9108,233,,9341,364
2026-07-14T09:14:59.843692Z,gpt-5.4,11489,238,,11727,728
2026-07-14T09:13:17.040574Z,gpt-5.4,11028,282,,11310,569
2026-07-14T09:12:25.255080Z,gpt-5.4,14395,226,,14621,1111
2026-07-14T09:11:38.148240Z,gpt-5.4,5579,207,,5786,98
2026-07-14T09:11:03.790114Z,gpt-5.4,5651,204,,5855,95
2026-07-14T09:10:32.400775Z,gpt-5.4,6640,180,,6820,108
2026-07-14T09:08:49.626313Z,gpt-5.4,7496,232,,7727,133
2026-07-14T09:08:15.050796Z,gpt-5.4,10508,209,,10717,58
2026-07-14T09:03:35.235116Z,gpt-5.4,8893,239,,9132,148
2026-07-14T09:03:04.948136Z,gpt-5.4,8103,200,,8303,102
2026-07-14T09:02:16.502955Z,gpt-5.4,7129,232,,7360,121
2026-07-14T09:01:47.908022Z,gpt-5.4,6849,243,,7093,186
2026-07-14T09:00:13.139680Z,gpt-5.4,11628,267,,11895,507
2026-07-14T08:57:23.085960Z,gpt-5.4,10560,221,,10782,459
2026-07-14T08:56:20.842574Z,gpt-5.4,8681,220,,8901,409
2026-07-14T08:53:22.511293Z,gpt-5.4,9087,259,,9346,124
2026-07-14T08:49:02.783106Z,gpt-5.4,8440,238,,8678,229
2026-07-14T08:46:54.190219Z,gpt-5.4,9593,242,,9835,324
2026-07-14T08:44:37.419290Z,gpt-5.4,8024,297,,8321,327
2026-07-14T08:42:28.060279Z,gpt-5.4,9094,250,,9344,219
2026-07-14T08:41:24.355860Z,gpt-5.4,8312,229,,8541,261
2026-07-14T08:35:54.577701Z,gpt-5.4,10241,228,,10469,72
2026-07-14T08:34:08.788476Z,gpt-5.4,7897,275,,8172,78
2026-07-14T08:31:17.442416Z,gpt-5.4,12781,239,,13020,138
2026-07-14T08:29:27.284106Z,gpt-5.4,8321,214,,8535,72
2026-07-14T08:28:45.255058Z,gpt-5.4,12055,333,,12388,126
